x,y,z,q0,q1,q2,q3,u,v,w,q,p,r
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.3,0.9980676020975903,0.0,0.0,-0.06213744155632878,0.2,0.0,0.0,0.0,0.0,0.0
5.0,-0.25,0.8,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
5.5,-0.25,1.3,0.9732489894677302,0.0,0.0,0.22975292054736118,0.2,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.5,0.7071067811865476,0.0,0.0,0.7071067811865475,0.2,0.0,0.0,0.0,0.0,0.0
6.0,1.0,1.5,0.38268343236508984,0.0,0.0,0.9238795325112867,0.2,0.0,0.0,0.0,0.0,0.0
5.5,1.5,1.5,0.38268343236508984,0.0,0.0,0.9238795325112867,0.0,0.0,0.0,0.0,0.0,0.0
5.3232233047033635,1.676776695296637,1.5,0.38268343236508984,0.0,0.0,0.9238795325112867,0.0,0.0,0.0,0.0,0.0,0.0
5.146446609406726,1.8535533905932737,1.5,0.38268343236508984,0.0,0.0,0.9238795325112867,0.0,0.0,0.0,0.0,0.0,0.0
