x,y,z,q0,q1,q2,q3,u,v,w,q,p,r,V_bs,l_cg,ds,dr,rpm_1,rpm_2
3.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.757426068431001,-0.06048047389991688,0.0,0.992546151641322,0.0,0.0,0.12186934340514748,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2207368982147315,0.1173678906964727,0.0,0.9702957262759965,0.0,0.0,0.24192189559966773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8142137936306515,-0.16728265158971456,0.0,0.9335804264972017,0.0,0.0,0.35836794954530027,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1397982258676866,0.20725939313876043,0.0,0.882947592858927,0.0,0.0,0.4694715627858908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9144949641685827,-0.2349231551964771,0.0,0.8191520442889918,0.0,0.0,0.573576436351046,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0261321158169134,0.24863047384206832,0.0,0.7431448254773942,0.0,0.0,0.6691306063588582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.034793275240016,-0.2475670171853926,0.0,0.6560590289905073,0.0,0.0,0.754709580222772,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.906348351646022,0.23179596364169686,0.0,0.5591929034707468,0.0,0.0,0.8290375725550417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1469463130731183,-0.2022542485937369,0.0,0.4539904997395468,0.0,0.0,0.8910065241883678,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8084888892202553,0.16069690242163487,0.0,0.3420201433256688,0.0,0.0,0.9396926207859083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2246985115747915,-0.10959278669726945,0.0,0.22495105434386492,0.0,0.0,0.9743700647852352,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7554630998165486,0.05197792270443983,0.0,0.10452846326765346,0.0,0.0,0.9945218953682733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2498477067547737,0.008724874175625083,0.0,-0.017452406437283477,0.0,0.0,0.9998476951563913,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7596845760154203,-0.06890933895424986,0.0,-0.13917310096006558,0.0,0.0,0.9902680687415703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.21650635094611,0.125,0.0,-0.25881904510252085,0.0,0.0,0.9659258262890683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.820165049915337,-0.17366459261474934,0.0,-0.37460659341591207,0.0,0.0,0.9271838545667874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1324798160583014,0.21201202403910646,0.0,-0.484809620246337,0.0,0.0,0.8746197071393959,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.922745751406263,-0.23776412907378838,0.0,-0.587785252292473,0.0,0.0,0.8090169943749475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0174391184360316,0.24939101256495605,0.0,-0.6819983600624984,0.0,0.0,0.7313537016191706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
