x,y,z,q0,q1,q2,q3,u,v,w,q,p,r
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.75,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
4.0,0.0,1.5,6.123233995736766e-17,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0
2.5,0.0,1.5,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.0,1.5,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.5,6.123233995736766e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
